im_name,label
SPC-PWSSC-0-000836-087-324-2296-108-80.png,[0 9]
SPC-PWSSC-1459740420-000486-010-2450-1620-84-60.png,[0 9]
SPC-PWSSC-1460302054-000614-034-468-2278-104-108.png,[0 9]
SPC-PWSSC-1462362440-000197-018-2262-570-192-212.png,[0 9]
SPC-PWSSC-1462448868-000327-007-2912-1964-84-60.png,[0 9]
SPC-PWSSC-1462448892-000426-016-3484-1326-152-224.png,[0 9]
SPC-PWSSC-1463397399-000169-009-1598-1972-108-76.png,[0 9]
SPC-PWSSC-1465205579-000697-019-1708-2442-124-128.png,[0 9]
SPC-PWSSC-1465507933-000512-020-3308-2120-100-88.png,[0 9]
SPC-PWSSC-1465896717-000408-034-2736-2096-84-60.png,[0 9]
SPC-PWSSC-1466803897-000328-084-1380-1700-136-112.png,[0 9]
SPC-PWSSC-1466890328-000451-084-2676-1268-76-96.png,[0 9]
SPC-PWSSC-1467019948-000532-018-3528-2358-72-68.png,[0 9]
SPC-PWSSC-1467019958-000572-044-1088-2218-76-80.png,[0 9]
SPC-PWSSC-1467365523-000367-084-1288-54-152-168.png,[0 9]
SPC-PWSSC-1467365618-000743-053-3512-1640-72-92.png,[0 9]
SPC-PWSSC-1467365619-000746-032-1744-1986-76-52.png,[0 9]
SPC-PWSSC-1467927173-000582-015-1772-1936-72-76.png,[0 9]
SPC-PWSSC-1468143190-000653-074-1734-906-156-136.png,[0 9]
SPC-PWSSC-1468488723-000380-016-1330-166-132-48.png,[0 9]
SPC-PWSSC-1470259953-000455-002-1934-2498-76-88.png,[0 9]
SPC-PWSSC-1472765614-000590-025-2612-1614-148-112.png,[0 9]
SPC-PWSSC-1473932063-000799-029-674-2342-84-76.png,[0 9]
SPC-PWSSC-1475962431-000592-020-3226-1270-56-80.png,[0 9]
SPC-PWSSC-1479418352-000489-031-1046-2266-200-212.png,[0 9]
SPC-PWSSC-1462276049-000244-024-3644-1236-280-212.png,1
SPC-PWSSC-1463754237-000165-012-1856-1146-592-476.png,1
SPC-PWSSC-1464298319-000463-025-3164-1460-448-412.png,1
SPC-PWSSC-1473888680-000048-004-800-1714-748-628.png,1
SPC-PWSSC-1474191264-000789-015-3392-2072-659-577.png,1
